no,Time 秒,UserID/MemID,設置點,緯度,經度,BPL UID
1,2/1/2022 12:01:57 AM,U9572c40e3c203b07c0391eaf8b27a9d4,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,225072
2,2/1/2022 12:06:32 AM,U1533b24c18a3e1f1479bdb79969431d9,岩田丼屋歡迎您！,23.57708,119.57257,225079
3,2/1/2022 12:07:03 AM,Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎福食品行,23.58479347,119.6631239,225080
4,2/1/2022 12:09:13 AM,U7f3b78bc013a2e7bb853218f9817e79c,文化路蔥油餅,23.56825,119.56753,225081
5,2/1/2022 12:13:20 AM,U7f3b78bc013a2e7bb853218f9817e79c,獨領風騷,23.56815,119.56751,225085
6,2/1/2022 12:19:21 AM,U3bc29efa4e459e4802139b075e9574e8,天津蔥抓餅,23.57431,119.5792,225092
7,2/1/2022 12:20:27 AM,U8eb2e7fe550a6d1e4a1519e405d3c917,夏天茶飲,23.57184,119.57075,225094
8,2/1/2022 12:21:04 AM,Uaae89b5752af1bf17f87d9cf02d03e41,外婆麵猴,23.57246,119.57467,225095
9,2/1/2022 12:27:01 AM,Ub7473e6415408078ad96236c758f5476,澎湖麗園民宿,23.54488,119.61233,225102
10,2/1/2022 12:42:30 AM,U3bc29efa4e459e4802139b075e9574e8,葉子的店,23.57429,119.57824,225131
11,2/1/2022 1:44:04 AM,U16f92b0df914c40495c60e84bf79adba,劉正港檸檬汁-中華店,23.57204,119.57574,225183
12,2/1/2022 1:44:21 AM,U715df1e900eb20c8a489602d1d2ea5cc,劉正港檸檬汁-中華店,23.57204,119.57574,225185
13,2/1/2022 4:37:43 AM,U3404039d365530b0fa956fe36d03d68b,北海道海產專賣店,23.56637,119.56886,225298
14,2/1/2022 6:26:39 AM,U78abaddc12fb13da74ea5cf110c3e776,澎湖水仙宮,23.56385,119.56416,225415
15,2/1/2022 7:26:49 AM,Ud66db3a385e85e727a0ab9f3d4130cc0,全家湖西店,23.58492,119.65906,225453
16,2/1/2022 7:39:45 AM,Ud66db3a385e85e727a0ab9f3d4130cc0,雨軒冰茶,23.58504,119.65937,225465
17,2/1/2022 7:40:42 AM,Ua3939a175af1ebc9979229dc604647ec,漁夫才哥企業社,23.58167831,119.638447,225466
18,2/1/2022 7:55:44 AM,U78abaddc12fb13da74ea5cf110c3e776,振發食品行,23.56413,119.5642,225483
19,2/1/2022 7:57:12 AM,U0b14300de9a4d57d38b5599bb17c5fc4,蔬脆蛋餅,23.56632,119.56511,225485
20,2/1/2022 8:06:50 AM,U7a89fa99cb80c8496590501db322b56c,元太、百世多麗站,23.56323772,119.5838793,225491
21,2/1/2022 8:16:37 AM,Ud12b72cb97ad69f841efe9b974ffdbe1,元太、百世多麗站,23.56323772,119.5838793,225497
22,2/1/2022 8:36:58 AM,U6578f650fb2e12f080ace324fd338c80,旭西餅舖,23.58575,119.65961,225513
23,2/1/2022 8:59:39 AM,Uc3f3e2177402a487f3e3e4443e5d8ecd,MOS BURGER 澎湖店,23.56297,119.56518,225550
24,2/1/2022 9:00:57 AM,U7676d997af8f09860c497735040717d5,新臺澎海產購物中心,23.56733,119.56717,225555
25,2/1/2022 9:01:42 AM,U3d1ca00de485ef589ee39531bb5357ec,寵物與我,23.57194,119.57068,225557
26,2/1/2022 9:07:30 AM,U3c8adba19c8b5219a417bfa324f74da5,MOS BURGER 澎湖店,23.56297,119.56518,225578
27,2/1/2022 9:08:30 AM,U818fd6da9a2a8e5b11cf9562a14849d0,澎湖 朝陽路肉圓,23.57339,119.57697,225587
28,2/1/2022 9:22:23 AM,U58001d9adfe8f94262b41bcaf841093b,鮮食堂海鮮蒸鍋,23.56566,119.56462,225609
29,2/1/2022 9:38:45 AM,U79311f93cc86094965dcdbc3065d2e13,博明國際租賃有限公司,23.5593,119.63246,225645
30,2/1/2022 9:43:33 AM,U06a75f71e65d0720f4c5381a88fa5e34,金玉堂文具批發廣場,23.56544,119.56548,225658
31,2/1/2022 9:59:59 AM,U818fd6da9a2a8e5b11cf9562a14849d0,純意居蔬食超市,23.57356,119.57634,225688
32,2/1/2022 10:06:46 AM,U56b1be03cd0560827b6add4d4590b750,澎湖灣行旅,23.56356312,119.5599932,225707
33,2/1/2022 10:46:28 AM,U81e4a5b20b01eaaa6497dc620580f1b2,好一間客棧,23.58138,119.58141,225784
34,2/1/2022 10:57:46 AM,U30edaf2003e2b0a69fa35c19403c7eb0,澎湖樂法Le Phare,23.5652,119.56654,225824
35,2/1/2022 11:30:33 AM,Uf4a9fa99caa0a39087a140f14921328b,雨軒冰茶,23.58504,119.65937,225899
36,2/1/2022 11:35:40 AM,Uf4a9fa99caa0a39087a140f14921328b,全家湖西店,23.58492,119.65906,225906
37,2/1/2022 11:47:37 AM,U751805cb651c58a391c10d1bd210c31c,大本商行-台灣運彩,23.57368,119.57247,225928
38,2/1/2022 11:52:44 AM,U3bc29efa4e459e4802139b075e9574e8,芳遠水果行,23.56751,119.56721,225938
39,2/1/2022 11:55:39 AM,Ud396de5c092143ad087e50d3fbcd042d,瑞師父海菜煎餅,23.56579,119.56542,225947
40,2/1/2022 11:55:50 AM,U3bc29efa4e459e4802139b075e9574e8,茶的魔手,23.57178,119.57055,225951
