no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,0(男)/1(女),天氣
1537,2022/2/3 18:35,"0150deb7d0,0064",U549d83ded5aae205862d9454360f140e,我們是望安CAFE,23.56506,119.56816,231820,22,0,風轉小雨
1538,2022/2/3 18:42,"0150deb7d0,0144",U549d83ded5aae205862d9454360f140e,小小間,23.57003,119.56901,231832,22,0,風轉小雨
1574,2022/2/4 14:14,"0150deb7d0,0139",U549d83ded5aae205862d9454360f140e,紫光複合式餐飲,23.56601,119.56687,233729,22,0,風
1649,2022/2/5 15:44,"0150deb7d0,0157",U549d83ded5aae205862d9454360f140e,鮮食堂海鮮蒸鍋,23.56566,119.56462,236440,22,0,陰風 
1663,2022/2/5 18:31,"0150deb7d0,0040",U549d83ded5aae205862d9454360f140e,自由塔,23.56993769,119.5713121,236910,22,0,陰風 
1664,2022/2/5 18:56,"0150deb7d0,0360",U549d83ded5aae205862d9454360f140e,芳遠水果行,23.56751,119.56721,236976,22,0,陰風 
1687,2022/2/6 01:12,"0150deb7d0,0068",U549d83ded5aae205862d9454360f140e,弗洛伊得飲酒店,23.56755,119.56811,237675,22,0,風
1709,2022/2/6 03:01,"0150deb7d0,0258",U549d83ded5aae205862d9454360f140e,曬食光餐飲店,23.56639,119.56396,237799,22,0,風
1716,2022/2/6 15:43,"0150deb7d0,0371",U549d83ded5aae205862d9454360f140e,阿鳳牛肉河粉,23.57142,119.57239,238930,22,0,風
1733,2022/2/6 18:32,"0150deb7d0,0165",U549d83ded5aae205862d9454360f140e,熊掌心健康果茶,23.56358,119.56499,239495,22,0,風
1840,2022/2/7 18:22,"0150deb7d0,0207",U549d83ded5aae205862d9454360f140e,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,241853,22,0,雨
1841,2022/2/7 18:22,"0150deb7d0,0370",U549d83ded5aae205862d9454360f140e,美味登場飯麵館,23.56881,119.57029,241857,22,0,雨
1901,2022/2/8 16:20,"0150deb7d0,0347",U549d83ded5aae205862d9454360f140e,提樂茶飲專賣店,23.56668,119.5654,244764,22,0,風
1906,2022/2/8 17:11,"0150deb7d0,0175",U549d83ded5aae205862d9454360f140e,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,244953,22,0,風
1939,2022/2/8 21:06,"0150deb7d0,0401",U549d83ded5aae205862d9454360f140e,駱哥港式點心,23.56584,119.56856,245648,22,0,風
1981,2022/2/9 15:13,"0150deb7d0,0020",U549d83ded5aae205862d9454360f140e,漁夫才哥企業社,23.58167831,119.638447,246756,22,0,風
1983,2022/2/9 15:19,"0150deb7d0,0324",U549d83ded5aae205862d9454360f140e,榕徽嬤?吃吃喝喝,23.56909,119.59924,246772,22,0,風
1102,2022/2/23 11:56,"0150deb7d0,0032",U8793a2bb7e42885c2e17c4682d981151,澎湖伯伴手禮坊,23.57123973,119.5799884,290319,24,1,中雨風
1108,2022/2/23 14:00,"0150deb7d0,0033",U8793a2bb7e42885c2e17c4682d981151,澎福食品行,23.58479347,119.6631239,290718,24,1,中雨風
1117,2022/2/23 16:27,"0150deb7d0,0166",U8793a2bb7e42885c2e17c4682d981151,海森海聲,23.56493,119.56501,291276,24,1,中雨風
1118,2022/2/23 16:30,"0150deb7d0,0365",U8793a2bb7e42885c2e17c4682d981151,臭臉大叔?烤甜圈,23.56494,119.56494,291285,24,1,中雨風
1162,2022/2/24 13:48,"0150deb7d0,0202",U8793a2bb7e42885c2e17c4682d981151,原豆工坊咖啡專賣店,23.56409,119.56508,293616,24,1,風
1164,2022/2/24 13:56,"0150deb7d0,0165",U8793a2bb7e42885c2e17c4682d981151,熊掌心健康果茶,23.56358,119.56499,293664,24,1,風
1193,2022/2/24 14:14,"0150deb7d0,0372",U8793a2bb7e42885c2e17c4682d981151,ㄇㄇ的臭豆腐,23.55258,119.61097,293748,24,1,風
1261,2022/2/25 14:42,"0150deb7d0,0340",U8793a2bb7e42885c2e17c4682d981151,某個角落,23.56492,119.56492,297103,24,1,陰風 
1304,2022/2/26 11:59,"0150deb7d0,0126",U8793a2bb7e42885c2e17c4682d981151,龍門小吃部,23.5643,119.6732,299947,24,1,多雲晴
1320,2022/2/26 18:04,"0150deb7d0,0401",U8793a2bb7e42885c2e17c4682d981151,駱哥港式點心,23.56584,119.56856,301358,24,1,多雲晴
1321,2022/2/26 06:33,"0150deb7d0,0040",U8793a2bb7e42885c2e17c4682d981151,自由塔,23.56993769,119.5713121,299430,24,1,多雲晴
1346,2022/2/27 13:54,"0150deb7d0,0044",U8793a2bb7e42885c2e17c4682d981151,通樑古榕,23.65648794,119.5567078,303384,24,1,陰風 
1363,2022/2/27 14:04,"0150deb7d0,0049",U8793a2bb7e42885c2e17c4682d981151,跨海大橋(西嶼端),23.63923913,119.5405206,303424,24,1,陰風 
1399,2022/2/27 19:51,"0150deb7d0,0065",U8793a2bb7e42885c2e17c4682d981151,啤酒海時尚熱炒,23.56523,119.56644,304680,24,1,陰風 
1412,2022/2/27 08:56,"0150deb7d0,0168",U8793a2bb7e42885c2e17c4682d981151,小正傢私店,23.56467,119.56484,302705,24,1,陰風 
1420,2022/2/27 09:28,"0150deb7d0,0167",U8793a2bb7e42885c2e17c4682d981151,文馨文石工坊,23.56453,119.5645,302738,24,1,陰風 
1432,2022/2/28 10:37,"0150deb7d0,0359",U8793a2bb7e42885c2e17c4682d981151,Bella調酒專賣店,23.56855353,119.567152,305874,24,1,晴多雲
1488,2022/2/28 20:32,"0150deb7d0,0207",U8793a2bb7e42885c2e17c4682d981151,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,308224,24,1,晴多雲
2037,2022/3/1 13:17,"0150deb7d0,0149",U8793a2bb7e42885c2e17c4682d981151,拾捌度C鮮果茶飲站,23.57436,119.5795,309865,24,1,多雲陰
2339,2022/3/13 14:48,"0150deb7d0,0324",Ufb55cf9c80d5552ee0acf2fd81a4c299,榕徽嬤?吃吃喝喝,23.56909,119.59924,348060,59,1,晴
2376,2022/3/13 21:34,"0150deb7d0,0292",Ufb55cf9c80d5552ee0acf2fd81a4c299,Mr.大雞,23.57226,119.57626,349462,59,1,晴
2379,2022/3/13 21:44,"0150deb7d0,0252",Ufb55cf9c80d5552ee0acf2fd81a4c299,飛特潛艦Victor Johni’R,23.56737,119.56745,349509,59,1,晴
2386,2022/3/14 10:38,"0150deb7d0,0207",Ufb55cf9c80d5552ee0acf2fd81a4c299,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,350237,59,1,陰
2389,2022/3/14 11:01,"0150deb7d0,0198",Ufb55cf9c80d5552ee0acf2fd81a4c299,黑妞,23.56469,119.56479,350277,59,1,陰
2487,2022/3/15 18:06,"0150deb7d0,0086",Ufb55cf9c80d5552ee0acf2fd81a4c299,憲作食品商行喜歡義式霜淇淋的你,23.5664,119.56782,354812,59,1,多雲
2529,2022/3/16 11:21,"0150deb7d0,0032",Ufb55cf9c80d5552ee0acf2fd81a4c299,澎湖伯伴手禮坊,23.57123973,119.5799884,356626,59,1,陰
2599,2022/3/17 11:05,"0150deb7d0,0327",Ufb55cf9c80d5552ee0acf2fd81a4c299,西河食堂海鮮粥,23.56484,119.5652,359729,59,1,雨陰
2603,2022/3/17 11:29,"0150deb7d0,0134",Ufb55cf9c80d5552ee0acf2fd81a4c299,呷飽飽燒烤屋,23.57558,119.58025,359785,59,1,雨陰
2664,2022/3/18 10:55,"0150deb7d0,0381",Ufb55cf9c80d5552ee0acf2fd81a4c299,信誼海產,23.571,119.57133,362771,59,1,陰
2668,2022/3/18 11:37,"0150deb7d0,0298",Ufb55cf9c80d5552ee0acf2fd81a4c299,小蘑菇義大利麵,23.56716,119.56465,362893,59,1,陰
2670,2022/3/18 11:39,"0150deb7d0,0395",Ufb55cf9c80d5552ee0acf2fd81a4c299,大口香雞排,23.56719,119.56471,362899,59,1,陰
2689,2022/3/18 16:02,"0150deb7d0,0244",Ufb55cf9c80d5552ee0acf2fd81a4c299,三ㄚ店&潮style,23.56705,119.56538,363628,59,1,陰
2690,2022/3/18 16:11,"0150deb7d0,0066",Ufb55cf9c80d5552ee0acf2fd81a4c299,北海道海產專賣店,23.56637,119.56886,363656,59,1,陰
2731,2022/3/19 10:05,"0150deb7d0,0288",Ufb55cf9c80d5552ee0acf2fd81a4c299,皮克吐司,23.56714,119.56467,365784,59,1,多雲風
2769,2022/3/19 09:09,"0150deb7d0,0332",Ufb55cf9c80d5552ee0acf2fd81a4c299,小螞蟻牛排,23.56836,119.56831,365650,59,1,多雲風
